Target Geo Id2,Percent
01,3.5
01001,1.4
01003,3.6
01005,2.8
01007,1.3
01009,4.1
01011,4.7
01013,0.8
01015,2.4
01017,1
01019,1.2
01021,5.4
01023,0.2
01025,0.6
01027,2.1
01029,1
01031,4.5
01033,1.8
01035,0.9
01037,1.7
01039,1.1
01041,2.3
01043,2.8
01045,3.1
01047,0.6
01049,7.6
01051,1.9
01053,0.8
01055,2.4
01057,0.6
01059,9.8
01061,2
01063,0.2
01065,0.7
01067,2.5
01069,2.4
01071,2.3
01073,3.9
01075,0.7
01077,2
01079,0.8
01081,5.6
01083,4.5
01085,0.3
01087,1.3
01089,5.4
01091,0.8
01093,1.7
01095,7.7
01097,3.2
01099,0.8
01101,4.3
01103,4.7
01105,0.7
01107,0.3
01109,3.6
01111,2
01113,2.2
01115,1.9
01117,5.6
01119,1.4
01121,1.5
01123,1.8
01125,3.5
01127,1.2
01129,1
01131,0.1
01133,0.9
02,7.1
02013,49.5
02016,35.3
02020,9.7
02050,1.2
02060,1
02068,9.2
02070,1.8
02090,5.2
02100,5.4
02105,2.8
02110,6.9
02122,2.4
02130,7.1
02150,14.2
02164,2
02170,3.7
02180,1.4
02185,6
02188,1
02195,6.5
02198,1.3
02220,8.5
02230,8.9
02240,7.7
02261,4.3
02270,0.5
02275,4.5
02282,10.2
02290,1.3
04,13.5
04001,2
04003,11.5
04005,5.6
04007,4
04009,5.1
04011,5.7
04012,12
04013,14.9
04015,7.4
04017,2.5
04019,12.8
04021,10
04023,32.6
04025,6.9
04027,25.8
05,4.6
05001,1.7
05003,2.3
05005,1.8
05007,11
05009,1.3
05011,6.3
05013,0
05015,7
05017,3.2
05019,2.8
05021,1.2
05023,1.6
05025,1.1
05027,3
05029,2.1
05031,3.8
05033,4.6
05035,1.4
05037,0.7
05039,2.5
05041,2
05043,1.4
05045,2.9
05047,0.6
05049,1.1
05051,3.6
05053,1.7
05055,1.1
05057,5.8
05059,1.1
05061,5.6
05063,3.7
05065,2.7
05067,1
05069,1.5
05071,8.1
05073,0.6
05075,0.6
05077,0.9
05079,1
05081,1.3
05083,1.7
05085,2.1
05087,2.6
05089,1.6
05091,0.7
05093,1.7
05095,0.9
05097,2.3
05099,1.8
05101,0.7
05103,1.1
05105,0.9
05107,0.9
05109,4.1
05111,0.9
05113,2.9
05115,3.9
05117,0.4
05119,5.3
05121,0.9
05123,2.5
05125,2.4
05127,5.6
05129,0.8
05131,9.5
05133,16
05135,1.1
05137,0.5
05139,2.2
05141,1.9
05143,11.6
05145,2.3
05147,0.3
05149,11.1
06,27
06001,31
06003,3.3
06005,6.2
06007,7.6
06009,4.6
06011,24.1
06013,23.6
06015,6
06017,9.2
06019,21.7
06021,17
06023,5.8
06025,32.7
06027,10.3
06029,20.4
06031,19.6
06033,9.2
06035,6.9
06037,34.9
06039,21.8
06041,18.9
06043,5.6
06045,13.4
06047,25.5
06049,7.4
06051,17.6
06053,30.1
06055,23.2
06057,6.4
06059,30.3
06061,10.5
06063,4.8
06065,22
06067,20.1
06069,20.5
06071,21.3
06073,23.4
06075,35.5
06077,23.1
06079,10.7
06081,34.4
06083,23.2
06085,37.4
06087,18.2
06089,4.9
06091,7.2
06093,5.3
06095,20
06097,16.5
06099,20.5
06101,23
06103,8.6
06105,3.7
06107,22.8
06109,4.8
06111,22.8
06113,21.4
06115,12.7
08,9.8
08001,15.1
08003,6.7
08005,15
08007,4.9
08009,3.1
08011,5.5
08013,10.6
08014,9.2
08015,3.7
08017,8.5
08019,4
08021,3.8
08023,6.2
08025,6.3
08027,2.4
08029,3.9
08031,16
08033,1.3
08035,6.7
08037,19
08039,4.1
08041,7.2
08043,4.5
08045,14.9
08047,3.1
08049,6.3
08051,4.1
08053,1.1
08055,3.4
08057,7.3
08059,6.4
08061,2.3
08063,8.1
08065,11
08067,3.3
08069,5.2
08071,3.3
08073,5
08075,6.6
08077,3.4
08079,1
08081,5.5
08083,2.9
08085,6.9
08087,12.4
08089,5.6
08091,3
08093,3.4
08095,13
08097,11.6
08099,9.9
08101,4.2
08103,6.2
08105,7.3
08107,4.9
08109,9.7
08111,3.8
08113,7.5
08115,3.4
08117,11.1
08119,2.6
08121,3.3
08123,8.7
08125,8.8
09,13.7
09001,20.5
09003,14.8
09005,7.1
09007,7.3
09009,11.7
09011,8.6
09013,6.7
09015,5
10,8.4
10001,5.3
10003,10
10005,6.6
11,14
11001,14
12,19.6
12001,10.3
12003,1.2
12005,5.1
12007,1.9
12009,8.8
12011,31.8
12013,3
12015,9.8
12017,5.1
12019,6.6
12021,23
12023,3.4
12027,18
12029,2
12031,9.6
12033,5.5
12035,13.4
12037,3.5
12039,6
12041,3.6
12043,12.8
12045,3.3
12047,4.6
12049,19.7
12051,25.4
12053,6.6
12055,10.3
12057,15.7
12059,2.4
12061,10.7
12063,2.7
12065,2.1
12067,7.1
12069,7.9
12071,15.4
12073,6.8
12075,3.1
12077,3.3
12079,4.1
12081,12.5
12083,7.5
12085,10
12086,51.5
12087,17.8
12089,2.7
12091,6.6
12093,11.9
12095,19.4
12097,19.4
12099,23.2
12101,9.1
12103,11.5
12105,10.1
12107,4.7
12109,6.3
12111,15
12113,4.1
12115,12
12117,11.8
12119,5.9
12121,5.6
12123,2.1
12125,2.8
12127,7.4
12129,2.3
12131,5.8
12133,2.7
13,9.7
13001,4.3
13003,13.2
13005,5.8
13007,0.4
13009,2.7
13011,3.5
13013,6.8
13015,4.9
13017,3.1
13019,2.6
13021,3.7
13023,1.6
13025,0.6
13027,3.3
13029,4.3
13031,4.1
13033,1.5
13035,2.9
13037,4.9
13039,2.6
13043,6.2
13045,4.4
13047,2.3
13049,7.8
13051,6.6
13053,7.8
13055,2.9
13057,8.8
13059,10.1
13061,1.2
13063,15.1
13065,1.7
13067,15.2
13069,6.1
13071,11.1
13073,6.9
13075,3.3
13077,6
13079,0.9
13081,1.6
13083,1.6
13085,3.4
13087,2.7
