Target Geo Id2,Percent
01,3.5
01001,1.4
01003,3.7
01005,2.8
01007,1.3
01009,4.7
01011,4.6
01013,1.3
01015,2.4
01017,1.2
01019,0.8
01021,4.7
01023,0.3
01025,0.6
01027,1.9
01029,1.2
01031,4.7
01033,1.7
01035,0.4
01037,1.7
01039,1
01041,2.2
01043,2.8
01045,3.9
01047,0.8
01049,7.4
01051,2.2
01053,1.2
01055,2.1
01057,0.6
01059,8
01061,2.1
01063,0.2
01065,0.9
01067,2.9
01069,2.3
01071,2.1
01073,4.3
01075,0.5
01077,2
01079,1.3
01081,4.9
01083,4.3
01085,0.2
01087,0.8
01089,5.4
01091,0.7
01093,1.1
01095,8
01097,3.2
01099,1.2
01101,4.3
01103,5.3
01105,0.6
01107,0.9
01109,4.3
01111,1.4
01113,1.6
01115,1.9
01117,6.1
01119,0.2
01121,1.2
01123,1.9
01125,3.4
01127,1.1
01129,0.5
01131,0.1
01133,1.1
02,6.9
02013,58.9
02016,35
02020,9.3
02050,0.9
02060,1.1
02068,8.3
02070,1.6
02090,5.3
02100,4.1
02105,2.5
02110,5.9
02122,3
02130,7.2
02150,14.4
02164,1.8
02170,3.5
02180,1.9
02185,5.5
02188,1.3
02195,4.8
02198,1.8
02220,6.7
02230,13.4
02240,7.5
02261,5.5
02270,0.1
02275,4.3
02282,3.9
02290,1
04,13.6
04001,1.7
04003,11.9
04005,5.3
04007,3.7
04009,4.9
04011,4.5
04012,13
04013,15.1
04015,6.7
04017,3
04019,12.9
04021,10.1
04023,33.7
04025,6.9
04027,24.5
05,4.4
05001,2.3
05003,1.9
05005,1.8
05007,10.6
05009,1.3
05011,6.3
05013,0
05015,6.7
05017,2.7
05019,2
05021,0.6
05023,1.9
05025,0.3
05027,2.8
05029,1.9
05031,3.3
05033,4
05035,1.3
05037,0.7
05039,0.7
05041,2.3
05043,1.9
05045,3.3
05047,0.7
05049,1
05051,4
05053,1.8
05055,1.1
05057,6.3
05059,1.1
05061,5.9
05063,3.5
05065,1.5
05067,1
05069,1.2
05071,7.2
05073,0.7
05075,0.6
05077,1.2
05079,1.2
05081,0.8
05083,1.1
05085,2
05087,2.4
05089,2.1
05091,1.4
05093,2
05095,0.8
05097,1.9
05099,0.5
05101,0.9
05103,0.7
05105,0.7
05107,0.5
05109,4.3
05111,0.9
05113,2.9
05115,3.2
05117,0.2
05119,5.3
05121,0.9
05123,2.1
05125,2.4
05127,4.7
05129,0.7
05131,9.3
05133,17.2
05135,0.7
05137,1.1
05139,2.2
05141,1.5
05143,11
05145,2.2
05147,0.7
05149,12.4
06,27.1
06001,30.6
06003,4.8
06005,5.7
06007,7.8
06009,4.3
06011,23.8
06013,23.6
06015,6.4
06017,8.8
06019,22.1
06021,15.6
06023,5.5
06025,32.4
06027,9.6
06029,20.4
06031,20.6
06033,8.4
06035,6.5
06037,35.3
06039,21.1
06041,19.1
06043,3.5
06045,12.1
06047,25.2
06049,5.8
06051,15.8
06053,30.4
06055,22.8
06057,5.4
06059,30.5
06061,10.3
06063,5.7
06065,22
06067,19.8
06069,20.5
06071,21.3
06073,23.2
06075,35.7
06077,23.1
06079,10.5
06081,34.2
06083,23.5
06085,36.8
06087,18.4
06089,5.2
06091,6
06093,5.8
06095,20.2
06097,16.5
06099,20.4
06101,22.7
06103,9.1
06105,3.6
06107,22.7
06109,4.8
06111,22.7
06113,21.2
06115,12.1
08,9.7
08001,15
08003,5.6
08005,15.1
08007,3.1
08009,3.4
08011,4.3
08013,10.9
08014,7.9
08015,3.2
08017,8.4
08019,3.5
08021,3.1
08023,10.5
08025,5.6
08027,1.8
08029,4.4
08031,16.1
08033,0.4
08035,6.3
08037,19.8
08039,3.3
08041,7.2
08043,4.4
08045,15.4
08047,2.3
08049,4.1
08051,4.4
08053,1.4
08055,4.8
08057,1.6
08059,6.2
08061,3.2
08063,9.1
08065,16.4
08067,3
08069,5.3
08071,3.3
08073,5.6
08075,6.4
08077,4.3
08079,2
08081,6.3
08083,2.1
08085,7.3
08087,13.5
08089,3.8
08091,2.7
08093,3
08095,12
08097,11.8
08099,11.8
08101,3.5
08103,5.3
08105,6.5
08107,3.7
08109,10.9
08111,3.3
08113,8.6
08115,3.4
08117,12.2
08119,2
08121,2.9
08123,8.8
08125,11
09,13.5
09001,20.2
09003,14.6
09005,6.6
09007,7.5
09009,11.7
09011,8.7
09013,6.9
09015,4.9
10,8.3
10001,4.9
10003,10
10005,6.6
11,13.5
11001,13.5
12,19.3
12001,10.6
12003,1.2
12005,4.8
12007,1.9
12009,8.8
12011,31.4
12013,3.4
12015,9.6
12017,5.1
12019,6.2
12021,23.1
12023,3.6
12027,17.7
12029,2.3
12031,9.3
12033,5.7
12035,13.2
12037,4.1
12039,6
12041,2.9
12043,15
12045,3.7
12047,4.4
12049,20.8
12051,24.1
12053,6.5
12055,10.2
12057,15.3
12059,2.6
12061,10.5
12063,2.6
12065,2.9
12067,6.4
12069,8.3
12071,15
12073,6.7
12075,3.9
12077,4.4
12079,3.3
12081,12.4
12083,8.3
12085,9.8
12086,51.2
12087,18
12089,2.4
12091,7.1
12093,11.8
12095,19.1
12097,19.9
12099,22.4
12101,9.2
12103,11.2
12105,10.5
12107,5
12109,6.2
12111,15
12113,4.6
12115,11.7
12117,11.9
12119,5.8
12121,6.2
12123,2.5
12125,2.5
12127,7.1
12129,2.7
12131,4.6
12133,2.8
13,9.7
13001,5.7
13003,12.4
13005,5.7
13007,0.2
13009,2.6
13011,3.2
13013,7.4
13015,5
13017,2.7
13019,2
13021,3.7
13023,1.9
13025,0.4
13027,3.5
13029,3.4
13031,3.8
13033,1.5
13035,2.5
13037,4.3
13039,2.2
13043,6.2
13045,4.3
13047,2.1
13049,7.3
13051,6.4
13053,5.5
13055,3.1
13057,8.9
13059,10.8
13061,1.2
13063,14.7
13065,2.6
13067,15
13069,6.3
13071,10.6
13073,7
13075,3.8
13077,5.7
13079,0.3
