Target Geo Id2,Percent
01,3.5
01001,1.6
01003,3.6
01005,2.9
01007,1.2
01009,4.3
01011,5.4
01013,0.8
01015,2.4
01017,1.1
01019,0.7
01021,5.2
01023,0.3
01025,0.3
01027,2.2
01029,1.5
01031,5.1
01033,2
01035,0.6
01037,1.8
01039,1.4
01041,2.3
01043,3
01045,3.7
01047,0.8
01049,7.5
01051,2.1
01053,0.6
01055,2.2
01057,0.6
01059,8.4
01061,1.8
01063,0.2
01065,1.2
01067,2.9
01069,2.4
01071,2.2
01073,4.1
01075,0.6
01077,2.1
01079,1
01081,5.1
01083,4.3
01085,0.2
01087,1.1
01089,5.4
01091,0.7
01093,1
01095,8
01097,3.2
01099,0.9
01101,4.3
01103,5.1
01105,0.5
01107,0.3
01109,4
01111,1.7
01113,2.2
01115,1.8
01117,6
01119,0.9
01121,1.6
01123,1.9
01125,3.5
01127,1.2
01129,0.9
01131,0.1
01133,1.1
02,7
02013,56.6
02016,34.9
02020,9.4
02050,1.2
02060,0.6
02068,7.4
02070,1.5
02090,5.7
02100,5
02105,3
02110,6.5
02122,2.6
02130,7.3
02150,14.2
02164,1.7
02170,3.4
02180,1.4
02185,5.3
02188,1.2
02195,4.6
02198,1.4
02220,7.7
02230,8.9
02240,9.1
02261,4.6
02270,0.6
02275,2.8
02282,5.9
02290,1.1
04,13.4
04001,1.7
04003,11.6
04005,5.3
04007,3.4
04009,5
04011,4.7
04012,13.5
04013,14.9
04015,6.9
04017,2.6
04019,12.8
04021,10.1
04023,33.5
04025,6.8
04027,25.3
05,4.5
05001,2.2
05003,2.1
05005,1.9
05007,10.9
05009,1.3
05011,6.7
05013,0
05015,6.8
05017,3.3
05019,2.6
05021,0.9
05023,2
05025,0.4
05027,2.9
05029,1.9
05031,3.7
05033,4.1
05035,1.7
05037,0.7
05039,2.5
05041,1.8
05043,1.9
05045,2.9
05047,0.8
05049,1.1
05051,3.6
05053,1.9
05055,1.1
05057,5.7
05059,0.9
05061,6.2
05063,3.6
05065,2.3
05067,0.8
05069,1.4
05071,6.3
05073,0.7
05075,0.6
05077,0.8
05079,1.5
05081,1.4
05083,1.2
05085,2.1
05087,2.3
05089,2.4
05091,0.9
05093,1.8
05095,0.8
05097,1.7
05099,1
05101,0.8
05103,1
05105,0.8
05107,0.6
05109,3.7
05111,1.3
05113,2.8
05115,3.5
05117,0.3
05119,5.2
05121,0.6
05123,2.4
05125,2.2
05127,4.8
05129,0.8
05131,9.5
05133,16.9
05135,1.4
05137,0.8
05139,2.1
05141,1.6
05143,11.6
05145,2.5
05147,0.7
05149,12.7
06,27
06001,30.8
06003,3.8
06005,5.7
06007,7.5
06009,4.2
06011,23.3
06013,23.5
06015,6.5
06017,8.7
06019,21.9
06021,17.2
06023,5.7
06025,32.3
06027,10.4
06029,20.6
06031,20.1
06033,8.6
06035,7
06037,35.1
06039,21.5
06041,19
06043,4.7
06045,12.5
06047,25.6
06049,7.1
06051,17
06053,29.9
06055,22.4
06057,6
06059,30.4
06061,10.6
06063,5.1
06065,21.9
06067,19.9
06069,20.1
06071,21.1
06073,23.4
06075,35.6
06077,23.1
06079,10.4
06081,34
06083,23.4
06085,37.1
06087,18.3
06089,5.2
06091,7.1
06093,5.4
06095,20.1
06097,16.6
06099,20.5
06101,22.7
06103,8.9
06105,3.4
06107,22.8
06109,4.8
06111,22.8
06113,21.7
06115,12.3
08,9.7
08001,14.9
08003,6.7
08005,14.9
08007,3.3
08009,2.8
08011,5.9
08013,10.9
08014,8.6
08015,3.5
08017,8.5
08019,4
08021,3.1
08023,10.3
08025,5.7
08027,2.1
08029,4.5
08031,15.8
08033,1.1
08035,6.4
08037,19.2
08039,4.1
08041,7.2
08043,4
08045,15
08047,2.6
08049,4.7
08051,4.3
08053,1.7
08055,4.8
08057,3
08059,6.2
08061,2.7
08063,9
08065,15
08067,3.5
08069,5.4
08071,3.2
08073,5.4
08075,5.7
08077,4.1
08079,1.1
08081,5.6
08083,2.3
08085,7.3
08087,12.6
08089,4.1
08091,2.9
08093,3.4
08095,12.2
08097,12.2
08099,12.5
08101,4
08103,6.8
08105,7
08107,3.5
08109,11
08111,3.2
08113,8.4
08115,3.2
08117,11.9
08119,2.4
08121,2.5
08123,8.5
08125,10.9
09,13.6
09001,20.3
09003,14.9
09005,7.1
09007,7.3
09009,11.7
09011,8.6
09013,6.9
09015,4.9
10,8.4
10001,5.3
10003,10
10005,6.8
11,13.8
11001,13.8
12,19.4
12001,10.7
12003,1
12005,4.9
12007,2.5
12009,8.7
12011,31.5
12013,2.7
12015,9.7
12017,4.8
12019,6.6
12021,22.9
12023,3.4
12027,17.6
12029,2.7
12031,9.5
12033,5.6
12035,13.4
12037,3.2
12039,6.6
12041,3
12043,14.7
12045,3.2
12047,3.7
12049,20.8
12051,24.9
12053,6.5
12055,10.9
12057,15.5
12059,2.6
12061,10.4
12063,2.8
12065,2.3
12067,8.2
12069,8.5
12071,15.1
12073,6.5
12075,3.2
12077,3.4
12079,4.1
12081,12.7
12083,7.6
12085,9.8
12086,51.3
12087,17.4
12089,2.6
12091,6.6
12093,12.1
12095,19
12097,19.9
12099,22.6
12101,9
12103,11.4
12105,10.2
12107,4.8
12109,6.4
12111,14.9
12113,4.4
12115,12
12117,11.8
12119,5.8
12121,5.9
12123,2.4
12125,2.6
12127,7
12129,2.8
12131,5
12133,2.8
13,9.7
13001,5.5
13003,12.2
13005,5.2
13007,0.6
13009,2.6
13011,3.4
13013,7.3
13015,4.6
13017,1.6
13019,2.7
13021,3.8
13023,2
13025,0.7
13027,3.2
13029,3.5
13031,4
13033,1.7
13035,3
13037,4.9
13039,2.1
13043,6.9
13045,4.4
13047,2.3
13049,7.6
13051,6.5
13053,5.6
13055,3.1
13057,8.6
13059,10.4
13061,1.2
13063,15.2
13065,2.6
13067,15.1
13069,6.1
13071,10.9
13073,6.8
13075,3.4
13077,5.8
13079,0.8
13081,1.5
13083,1.6
13085,3.8
13087,3
13089,16.3
13091,2.1
13093,4.2
13095,2.4
13097,8.4
13099,0.8
13101,17.1
13103,2.1
13105,3
13107,1.3
13109,6.2
13111,1.1
13113,9.2
13115,6.5
13117,13.8
13119,2.7
13121,12.9
13123,6.1
13125,1
13127,5.7
13129,9.3
13131,5.6
13133,3.9
13135,24.9
13137,8.6
13139,15.4
13141,1.9
13143,1.4
13145,2.6
13147,2.1
13149,0.2
13151,7.4
13153,5.8
13155,0.7
13157,4.4
13159,3.1
13161,4.7
13163,1.2
13165,2.6
13167,1.7
13169,2
13171,1.7
13173,2.5
13175,2.2
13177,3.5
13179,6.5
13181,1.1
13183,4.9
13185,3.8
13187,3.3
13189,1.2
13191,1.7
13193,3.6
13195,3.1
13197,5.8
13199,0.7
13201,0.7
13205,2.3
13207,1.7
13209,3.8
13211,1.8
13213,8.1
13215,5.4
13217,5.7
13219,5
13221,1.6
13223,4.1
13225,5.9
13227,2.8
13229,2.3
13231,1.1
13233,8.1
13235,2.2
13237,4.7
13239,0.3
13241,6.8
13243,3
13245,3.3
13247,10.5
13249,2.2
13251,0.4
13253,1.4
13255,2.7
13257,2
13259,13.6
13261,3.4
13263,0.8
13265,1.6
13267,5.4
13269,1.4
13271,10.8
13273,1.2
13275,2.5
13277,5.7
13279,5
13281,3.1
13283,0.5
13285,4.2
13287,3.4
13289,0.5
13291,2
13293,1.8
13295,1.1
13297,4.4
13299,3.4
13301,0.9
13303,1
13305,2.9
13307,0.2
13309,1
13311,2
13313,17.8
13315,1.7
13317,1.5
13319,1.5
13321,1.7
15,17.9
15001,10.9
15003,19.6
15005,19.7
15007,15.1
15009,17.2
16,5.9
16001,5.9
16003,1
16005,3.1
16007,1.3
16009,2.3
16011,7.1
16013,13.6
16015,2.2
16017,1.9
16019,5.6
16021,2.7
16023,2.6
16025,11.2
16027,8.4
16029,2.8
16031,9.7
16033,34.8
16035,2
16037,1.9
16039,9.9
16041,2.9
16043,5.7
16045,4.4
16047,15.8
16049,1.2
16051,4.2
16053,17.1
16055,2.3
16057,3.8
16059,1.5
16061,2.5
16063,13.8
16065,4.6
16067,12.4
16069,1.9
16071,1.5
16073,10.3
16075,5
16077,13.4
16079,1.7
16081,10.2
16083,8.5
16085,2.2
16087,7.5
17,13.8
17001,1.5
17003,1.3
17005,1.5
17007,11.3
17009,2.8
17011,3.6
17013,1.6
17015,3.3
17017,10.3
17019,11.7
17021,1.5
17023,1
17025,0.9
17027,1.6
17029,1.9
17031,21.1
17033,1.1
17035,1.1
17037,6.9
17039,1.1
17041,4.3
17043,18.4
17045,1
17047,0.6
17049,0.9
17051,1.6
17053,0.8
17055,0.8
17057,1.7
17059,0.3
17061,0.6
17063,3.9
17065,0.3
17067,1.2
17069,0.8
17071,1.8
17073,2.4
17075,3.6
17077,5.6
17079,1
17081,1.3
17083,1.3
17085,3.1
17087,1.4
17089,18.1
17091,4.7
17093,9.3
17095,2.2
17097,18.1
17099,3.3
17101,2.6
17103,2.3
17105,1.5
17107,1.8
17109,3.4
17111,9.4
17113,6
17115,2.1
17117,0.8
17119,2.4
17121,0.9
17123,2
17125,1.1
17127,0.6
17129,0.4
17131,1
17133,0.8
17135,1.3
17137,1.8
17139,1.4
17141,4.9
17143,5
17145,1.8
17147,1.3
17149,0.6
17151,2.5
17153,1.7
17155,1.5
17157,1.1
17159,1.6
17161,7.4
17163,2.7
17165,1.3
17167,3.5
17169,1.1
17171,0.6
17173,0.6
17175,0.7
17177,1.9
