fips,2010,2011,2012,2013,2014
05133,17138,17170,17174,17342,17426
05135,17281,17275,17053,17068,16906
05137,12416,12585,12628,12533,12494
05139,41580,41386,40904,40675,40227
05141,17296,17184,17155,16965,16851
05143,204019,207893,211734,216753,220792
05145,77339,78132,78652,78661,78592
05147,7243,7192,7071,7052,6910
05149,22159,21942,21811,21807,21951
06001,1513625,1532518,1556249,1583226,1610921
06003,1158,1111,1127,1150,1116
06005,37860,37520,37072,36602,36742
06007,219924,220025,221279,222420,224241
06009,45475,45117,44774,44614,44624
06011,21459,21415,21397,21432,21419
06013,1052894,1066587,1079358,1095980,1111339
06015,28580,28485,28226,27827,27212
06017,181163,180926,180605,181542,183087
06019,932642,941260,948240,956102,965974
06021,28101,28185,27938,27914,27955
06023,135022,135250,134680,134620,134809
06025,174779,176300,177443,177517,179091
06027,18532,18413,18416,18423,18410
06029,841762,849872,856502,865923,874589
06031,152418,152063,151340,150862,150269
06033,64757,64279,63984,63843,64184
06035,34841,34297,33679,32212,31749
06037,9827231,9898214,9974868,10053995,10116705
06039,151154,152148,152244,152165,154548
06041,252884,255413,256143,258821,260750
06043,18261,18184,17845,17758,17682
06045,87761,87460,87497,87471,87869
06047,256731,259698,261783,263481,266353
06049,9708,9499,9332,9112,9023
06051,14249,14398,14306,14016,13997
06053,416364,421393,426411,429123,431344
06055,136829,138056,139135,140580,141667
06057,98752,98788,98333,98262,98893
06059,3018080,3056311,3089893,3121854,3145515
06061,350214,356897,361446,367339,371694
06063,19918,19690,19341,18877,18606
06065,2202553,2237696,2268019,2296956,2329271
06067,1421838,1435601,1448771,1463149,1482026
06069,55532,56174,56871,57594,58267
06071,2041689,2064663,2080651,2093306,2112619
06073,3104543,3141768,3183413,3222558,3263431
06075,805825,816239,829691,841138,852469
06077,687513,695479,701635,705027,715597
06079,269860,271165,274528,276284,279083
06081,719951,729425,740738,750489,758581
06083,424331,425974,430728,436076,440668
06085,1786930,1814105,1841098,1871107,1894605
06087,263213,264923,266632,269444,271804
06089,177286,177950,178421,179137,179804
06091,3221,3104,3076,3040,3003
06093,44971,44719,44214,43773,43628
06095,414101,416945,420724,425219,431131
06097,484666,487722,490838,495432,500292
06099,515283,518270,522134,526286,531997
06101,94814,94750,94637,95287,95847
06103,63638,63321,63263,63130,63067
06105,13755,13712,13495,13444,13170
06107,443292,447824,451499,454725,458198
06109,55168,54724,54100,53911,53831
06111,825353,830973,835476,840972,846178
06113,201167,202303,204265,205485,207590
06115,72390,72600,72977,73361,73966
08001,443668,452202,460653,470547,480718
08003,15901,16107,16113,16256,16177
08005,574577,585845,596051,608128,618821
08007,12065,12022,12129,12202,12244
08009,3787,3807,3756,3679,3645
08011,6509,6322,5807,5734,5630
08013,295967,300650,305483,310396,313333
08014,56266,57433,58992,60306,62138
08015,17803,18001,18103,18335,18363
08017,1835,1869,1887,1898,1871
08019,9105,9077,9091,9110,9187
08021,8277,8308,8273,8258,8265
08023,3528,3649,3605,3539,3568
08025,5845,5842,5412,5333,5360
08027,4276,4224,4240,4271,4361
08029,30870,30377,30449,30326,29870
08031,603365,619390,633868,648401,663862
08033,2062,2029,1991,2025,1978
08035,286920,292538,298576,306297,314638
08037,52099,51755,51951,52441,52921
08039,23107,23280,23432,23713,24195
08041,626895,636944,645724,655453,663519
08043,46885,47431,47114,46463,46502
08045,56077,56003,56777,57102,57461
08047,5463,5447,5453,5572,5851
08049,14786,14557,14182,14319,14546
08051,15369,15451,15463,15505,15725
08053,847,831,801,812,786
08055,6673,6519,6588,6507,6462
08057,1383,1381,1347,1364,1396
08059,535600,539540,545621,551548,558503
08061,1395,1456,1437,1420,1402
08063,8238,8192,8093,8016,8072
08065,7263,7373,7274,7290,7357
08067,51338,51770,52305,53334,53989
08069,300484,305241,310835,316494,324122
08071,15416,15045,14986,14444,14052
08073,5472,5438,5446,5431,5510
08075,22789,22687,22613,22407,22524
08077,146485,147380,147724,147699,148255
08079,703,712,709,723,698
08081,13802,13420,13167,13115,12928
08083,25537,25444,25424,25667,25772
08085,41177,40910,40722,40744,40873
08087,28141,28498,28355,28389,28328
08089,18901,18889,18712,18572,18488
08091,4460,4449,4545,4578,4629
08093,16264,16091,16043,16128,16345
08095,4460,4371,4376,4355,4363
08097,17149,17127,17232,17381,17626
08099,12571,12505,12405,12281,12034
08101,159536,160213,160840,161320,161875
08103,6660,6774,6793,6759,6707
08105,12020,11924,11893,11755,11607
08107,23426,23182,23207,23458,23865
08109,6131,6185,6319,6226,6196
08111,708,697,695,699,720
08113,7356,7488,7604,7697,7840
08115,2370,2374,2377,2354,2348
08117,28063,27960,28228,28755,29404
08119,23456,23334,23376,23258,23389
08121,4805,4808,4736,4774,4780
08123,254173,258737,264189,270560,277670
08125,10016,10156,10117,10163,10202
09001,919506,928722,935290,942119,945438
09003,895197,897142,897698,898848,897985
09005,189742,188898,187415,186660,184993
09007,165625,166195,165520,165389,164943
09009,863367,864049,864031,863016,861277
09011,274102,274056,274544,273976,273676
09013,153199,153056,151925,151706,151367
09015,118607,118419,117939,117627,116998
10001,162954,165214,167666,169562,171987
10003,538873,542324,546021,549233,552778
10005,197904,200291,203194,206445,210849
11001,605210,620427,635040,649111,658893
12001,247680,249712,251713,253309,256380
12003,27072,27064,27041,27017,27093
12005,169294,169700,171994,174966,178985
12007,28544,28476,27132,26907,26702
12009,544029,544431,547669,551440,556885
12011,1753576,1788367,1819773,1845393,1869235
12013,14635,14763,14709,14647,14532
12015,159927,159613,162792,164948,168474
12017,141283,139773,139290,139134,139377
12019,191423,192291,194294,196535,199798
12021,322710,327903,332873,340106,348777
12023,67606,67340,67943,67563,67857
12027,34916,34636,34745,34616,35012
12029,16409,16354,16063,15954,15907
12031,865842,872294,880595,887322,897698
12033,298110,299642,304214,307871,310659
12035,96053,97295,98510,99950,102408
12037,11538,11518,11671,11639,11815
12039,47814,47387,46653,46191,46281
12041,16987,16979,16872,16907,16997
12043,12939,13150,13026,13201,13635
12045,15817,15670,15670,15805,15944
12047,14672,14594,14699,14319,14048
